tconst,numVotes,averageRating
tt0049043,1673,7.7
tt0049050,201,5.4
tt0049058,325,6.4
tt0049063,603,5.7
tt0049084,217,5.2
tt0049098,206,6.1
tt0049106,344,6.6
tt0049177,2172,6.2
tt0049182,609,6.0
tt0049189,9458,6.3
tt0049226,489,5.9
tt0049259,1662,7.4
tt0049282,219,6.7
tt0049483,240,5.7
tt0049501,605,6.0
tt0049508,563,5.5
tt0049518,1831,6.9
tt0049520,444,5.8
tt0049521,2636,6.7
tt0049531,2714,7.6
tt0049569,147,7.0
tt0049589,192,6.1
tt0049594,114,6.4
tt0049599,20,5.8
tt0049602,209,6.1
tt0049634,796,6.7
tt0049785,129,6.5
tt0049877,4357,7.3
tt0049902,25249,8.2
tt0049905,167,6.4
tt0050108,255,5.3
tt0050109,145,6.0
tt0050123,1708,7.4
tt0050124,72,5.7
tt0050126,2301,6.7
tt0050142,352,6.9
tt0050152,647,6.3
tt0050181,365,6.3
tt0050193,786,5.5
tt0050237,930,7.5
tt0050245,102,5.5
tt0050257,30,5.5
tt0050260,537,6.2
tt0050266,57,5.7
tt0050329,117,6.3
tt0050346,75,6.8
tt0050367,1105,6.7
tt0050406,204,6.8
tt0050418,130,6.6
tt0050425,32,6.2
tt0050435,180,6.4
tt0050454,726,6.9
tt0050483,469,5.9
tt0050519,282,6.5
tt0050628,126,6.0
tt0050633,882,7.4
tt0050657,118,5.3
tt0050669,2113,7.2
tt0050698,374,6.9
tt0050706,24381,7.7
tt0050709,1801,7.4
tt0050755,86,6.3
tt0050777,245,6.7
tt0050781,3192,6.6
tt0050782,9100,7.8
tt0050783,52180,8.1
tt0050850,775,7.1
tt0050854,516,6.9
tt0050871,218,6.0
tt0050913,674,6.6
tt0050929,157,5.7
tt0050950,76,7.1
tt0050997,798,7.2
tt0051049,431,6.5
tt0051103,155,6.2
tt0051109,113,6.6
tt0051110,237,6.5
tt0051121,129,5.8
tt0051132,218,6.9
tt0051133,1044,6.2
tt0051147,76,6.1
tt0051154,72,6.2
tt0051172,1717,7.5
tt0051197,38,5.1
tt0051236,127,5.6
tt0051363,242,5.6
tt0051372,854,7.6
tt0051378,28872,7.9
tt0051382,64,6.4
tt0051404,3806,7.1
tt0051469,727,7.1
tt0051473,181,6.5
tt0051477,1198,6.3
tt0051479,57,5.7
tt0051490,132,5.7
tt0051568,756,6.6
tt0051579,1531,6.7
tt0051587,249,4.8
tt0051604,304,6.5
tt0051607,19,4.9
tt0051608,353,5.5
tt0051624,54,4.9
tt0051684,137,5.9
tt0051774,23,5.5
tt0051801,191,6.1
tt0051851,1072,7.4
tt0051852,893,6.7
tt0051891,443,5.5
tt0051933,370,6.6
tt0051942,1110,7.3
tt0051951,854,4.5
tt0051964,1786,7.0
tt0051985,353,5.3
tt0051986,577,7.2
tt0051989,2045,7.1
tt0052072,91,4.1
tt0052076,52,6.4
tt0052078,117,6.8
tt0052090,88,5.3
tt0052093,35,5.6
tt0052105,57,5.6
tt0052110,178,6.0
tt0052112,152,6.7
tt0052127,35,7.5
tt0052136,72,6.4
tt0052211,366,5.8
tt0052232,87,5.3
tt0052264,169,6.2
tt0052276,790,6.1
tt0052280,262,6.3
tt0052295,3247,6.6
tt0052306,211,6.1
tt0052307,178,6.2
tt0052318,685,7.1
